Target_Category,Target_Category_Score,Target_Vulnerability,Target_Vulnerability_Score,Terrain_Type,Terrain_Type_Score,Civilian_Presence,Civilian_Presence_Score,Damage_Assessment,Damage_Assessment_Score,Time_Sensitivity,Time_Sensitivity_Score,Weaponeering,Weaponeering_Score,Friendly_Fire,Friendly_Fire_Score,Politically_Sensitive,Politically_Sensitive_Score,Legal_Advice,Legal_Advice_Score,Ethical_Concerns,Ethical_Concerns_Score,Collateral_Damage_Potential,Collateral_Damage_Potential_Score,AI_Distinction (%),AI_Distinction (%)_Score,AI_Proportionality (%),AI_Proportionality (%)_Score,AI_Military_Necessity,AI_Military_Necessity_Score,Human_Distinction (%),Human_Distinction (%)_Score,Human_Proportionality (%),Human_Proportionality (%)_Score,Human_Military_Necessity,Human_Military_Necessity_Score,Final_Decision
Air Base,3,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,1,-5,1,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Air Base,3,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,2,-5,2,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Airborne Unit,3,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,3,-5,3,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Airborne Unit,3,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,4,-5,4,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Airfield,2,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,5,-5,5,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Airfield,2,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,6,-5,6,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Ammo Stockpile,2,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,7,-5,7,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Ammo Stockpile,2,High,4,Agricultural Land,4,0,0,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,8,-5,8,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Ammunition Depot,2,High,4,Agricultural Land,4,0,0,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,9,-5,9,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Ammunition Depot,2,High,4,Agricultural Land,4,0,0,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,10,-5,10,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Armor Unit,3,High,4,Agricultural Land,4, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,11,-4,11,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Armor Unit,3,High,4,Agricultural Land,4, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,12,-4,12,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Artillery Unit,3,High,4,Agricultural Land,4, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,13,-4,13,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Artillery Unit,3,High,4,Border Region,1, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,14,-4,14,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Barracks,1,High,4,Border Region,1, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,15,-4,15,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Barracks,1,High,4,Communication Infrastructure,2, 1-10,-1,High,2,High,3,Air-to-Surface Missile,5,High,-1,High,1,Lawful,3,Immoral,-2,High,-2,16,-4,16,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Battalion HQ,4,High,4,Communication Infrastructure,2, 1-10,-1,High,2,High,3,Air-to-Surface Missile,5,High,-1,High,1,Lawful,3,Immoral,-2,High,-2,17,-4,17,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
